94,,21/12/1997,8,18,28,51,52,55
95,,28/12/1997,6,40,45,46,50,60
96,,04/01/1998,4,7,26,40,42,58
97,,11/01/1998,5,11,14,35,53,56
98,,18/01/1998,13,14,31,33,35,43
99,"Brasília, DF",25/01/1998,11,24,30,33,46,60
100,,01/02/1998,14,29,30,46,48,51
101,,08/02/1998,1,18,29,31,37,39
102,,15/02/1998,19,20,37,42,44,56
103,,22/02/1998,1,7,9,49,54,57
104,,01/03/1998,1,4,13,21,38,52
105,,08/03/1998,3,13,31,43,46,49
106,"Brasília, DF",15/03/1998,5,16,24,35,38,39
107,,22/03/1998,2,4,16,24,51,52
108,,29/03/1998,21,24,29,34,59,60
109,,04/04/1998,1,13,44,48,49,54
110,,11/04/1998,18,31,43,52,57,58
111,,18/04/1998,4,22,25,32,33,52
112,,25/04/1998,12,20,34,37,42,43
113,,02/05/1998,7,26,28,34,54,55
114,,09/05/1998,6,12,18,37,47,54
115,,16/05/1998,4,6,14,20,24,38
116,"BRASÍLIA, DF",23/05/1998,5,13,32,36,42,51
117,,30/05/1998,20,25,27,33,42,53
118,,06/06/1998,9,22,25,37,56,57
119,,13/06/1998,1,21,36,38,47,50
120,,20/06/1998,3,16,27,40,45,46
121,,27/06/1998,2,29,41,44,53,55
122,,04/07/1998,11,17,20,39,43,53
123,,11/07/1998,13,14,16,26,32,42
124,,18/07/1998,5,15,34,41,52,57
125,,25/07/1998,25,41,47,53,56,59
126,,01/08/1998,6,10,11,28,32,40
127,,08/08/1998,21,29,50,51,54,59
128,,15/08/1998,3,9,18,21,23,43
129,"Brasília, DF",22/08/1998,1,9,10,32,46,54
130,,29/08/1998,13,29,38,42,49,53
131,,05/09/1998,4,9,17,27,30,44
132,,12/09/1998,7,9,35,41,44,50
133,,19/09/1998,5,6,19,34,39,57
134,,26/09/1998,4,25,32,36,52,60
135,,03/10/1998,21,22,35,40,53,59
136,,10/10/1998,1,17,25,38,45,59
137,,17/10/1998,15,16,19,22,26,49
138,,24/10/1998,5,14,27,37,40,41
139,,31/10/1998,3,13,26,27,41,42
140,,07/11/1998,7,31,41,44,46,55
141,,14/11/1998,10,13,22,41,42,58
142,,21/11/1998,8,15,19,20,54,59
143,,28/11/1998,6,18,20,40,50,53
144,,05/12/1998,8,32,36,44,45,55
145,,12/12/1998,15,16,31,41,43,51
146,,19/12/1998,25,32,34,42,51,60
